부품명,부품사양,매각가능수량_정상,매각가능수량_불량
CPU,인텔 코어I3 소켓1155 3.3 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.2 GHz,2,0
CPU,인텔 펜티엄 소켓1155 2.8 GHz,1,0
CPU,인텔 펜티엄 소켓1155 2.6 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.1 GHz,6,0
CPU,인텔 펜티엄 소켓1155 3.0 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.3 GHz,3,0
CPU,인텔 코어I3 소켓1155 3.1 GHz,3,0
CPU,인텔 코어I5 소켓1155 3.3 GHz,1,0
CPU,AMD 애슬론 AM3 3000 기타,3,0
CPU,인텔 코어I3 소켓1155 3.4 GHz,1,0
CPU,인텔 펜티엄 소켓 775 2.93 GHz,1,0
CPU,인텔 펜티엄 소켓 775 2.6 GHz,1,0
CPU,인텔 펜티엄 소켓 775 2.4 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 2.8 GHz,1,0
CPU,AMD 애슬론X2 AM3 245 MHz,1,0
CPU,인텔 코어2듀오 소켓 775 2.2 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 2.53 GHz,2,0
CPU,인텔 코어2듀오 소켓 775 2.66 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 2.93 GHz,2,0
CPU,인텔 코어2듀오 소켓 775 3.0 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 3.06 GHz,1,0
CPU,인텔 코어2쿼드 소켓 775 2.4 GHz,1,0
CPU,인텔 펜티엄 소켓 775 2.8 GHz,1,0
CPU,인텔 펜티엄 소켓 775 2.93 GHz,1,0
CPU,인텔 펜티엄 소켓 775 3.2 GHz,2,0
CPU,인텔 펜티엄듀얼코어 소켓 775 2.7 GHz,2,0
CPU,인텔 펜티엄 소켓 775 2.8 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓 775 2.5 GHz,1,0
CPU,AMD 애슬론64 X2 AM2 3800 MHz,1,0
CPU,인텔 코어2듀오 소켓 775 3.06 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓 775 2.7 GHz,2,0
CPU,인텔 코어2듀오 소켓 775 1.8 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 2.66 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 3.0 GHz,5,0
CPU,인텔 코어2듀오 소켓 775 3.1 GHz,1,0
CPU,인텔 코어2쿼드 소켓 775 2.3 GHz,1,0
CPU,인텔 코어2쿼드 소켓 775 2.4 GHz,5,0
CPU,인텔 코어2쿼드 소켓 775 2.5 GHz,1,0
CPU,인텔 펜티엄 소켓 775 2.8 GHz,4,0
CPU,인텔 셀러론 소켓 775 2.4 GHz,1,0
CPU,인텔 셀러론D 소켓 775 2.66 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓 775 1.8 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓 775 2.0 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓 775 2.2 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓 775 2.5 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓 775 2.6 GHz,1,0
CPU,인텔 펜티엄G860 소켓1155 3.0 GHz,5,0
CPU,인텔 셀러론G1620 소켓1155 2.7 GHz,2,0
CPU,인텔 펜티엄G203 소켓1155 3.0 GHz,3,0
CPU,인텔 펜티엄G630 소켓1155 2.6 GHz,1,0
CPU,인텔 펜티엄G630 소켓1155 2.7 GHz,1,0
CPU,인텔 셀러론G550 소켓1155 2.6 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.5 GHz,4,0
CPU,인텔 코어2듀오 소켓 775 2.8 GHz,2,0
CPU,인텔 펜티엄 소켓 775 2.8 GHz,1,0
CPU,인텔 펜티엄 소켓 775 2.93 GHz,3,0
CPU,인텔 펜티엄 소켓 775 3.0 GHz,1,0
CPU,인텔 펜티엄 소켓 775 3.06 GHz,1,0
CPU,인텔 펜티엄 소켓 775 3.2 GHz,1,0
CPU,인텔 셀러론 소켓 775 2.4 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓 775 1.6 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓 775 1.8 GHz,2,0
CPU,인텔 펜티엄듀얼코어 소켓 775 2.0 GHz,2,0
CPU,인텔 펜티엄듀얼코어 소켓 775 2.2 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓 775 2.5 GHz,13,0
CPU,인텔 펜티엄듀얼코어 소켓 775 2.6 GHz,1,0
CPU,인텔 코어2쿼드 소켓 775 2.4 GHz,3,0
CPU,인텔 코어2듀오 소켓 775 1.8 GHz,3,0
CPU,인텔 코어2듀오 소켓 775 2.2 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 2.4 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 2.53 GHz,2,0
CPU,인텔 코어2듀오 소켓 775 2.8 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 2.93 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓 775 2.7 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓 775 2.66 GHz,5,0
CPU,인텔 펜티엄듀얼코어 소켓 775 2.5 GHz,5,0
CPU,인텔 펜티엄듀얼코어 소켓 775 1.8 GHz,3,0
CPU,인텔 펜티엄 소켓 775 3.2 GHz,1,0
CPU,인텔 펜티엄 소켓 775 3.06 GHz,1,0
CPU,인텔 펜티엄 소켓 775 2.93 GHz,4,0
CPU,인텔 펜티엄 소켓 775 2.8 GHz,3,0
CPU,인텔 코어2듀오 소켓 775 3.0 GHz,7,0
CPU,인텔 코어2듀오 소켓 775 2.53 GHz,3,0
CPU,인텔 코어2듀오 소켓 775 2.4 GHz,2,0
CPU,인텔 코어2듀오 소켓 775 2.3 GHz,14,0
CPU,AMD 애슬론X2 AM2 2400 MHz,1,0
CPU,인텔 코어2듀오 소켓 775 2.66 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓1155 3.0 GHz,2,0
CPU,인텔 코어I3 소켓1155 3.3 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.2 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.1 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 2.53 GHz,1,0
CPU,인텔 펜티엄 소켓1155 3.1 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓1150 3.3 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.3 GHz,1,0
CPU,인텔 코어I3 소켓1150 3.4 GHz,3,0
CPU,인텔 펜티엄G860 소켓1155 3.0 GHz,1,0
CPU,인텔 펜티엄 소켓 775 3.4 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓 775 2.2 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.1 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.1 GHz,2,0
CPU,인텔 코어I3 소켓1155 3.3 GHz,2,0
CPU,인텔 코어I3 소켓1150 3.7 GHz,1,0
CPU,인텔 코어I5 소켓1150 3.3 GHz,3,0
CPU,인텔 코어I5 소켓1150 3.5 GHz,4,0
CPU,인텔 코어I3 소켓1155 3.1 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓1150 3.3 GHz,2,0
CPU,인텔 펜티엄듀얼코어 소켓1150 3.1 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓1150 3.0 GHz,2,0
CPU,인텔 코어2쿼드 소켓 775 2.4 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 3.0 GHz,2,0
CPU,인텔 코어2듀오 소켓 775 2.93 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 2.4 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓 775 2.5 GHz,1,0
CPU,인텔 펜티엄 소켓 775 3.0 GHz,1,0
CPU,AMD 애슬론X2 AM3 2400 MHz,1,0
CPU,인텔 코어2듀오 소켓 775 2.3 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 2.4 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 2.66 GHz,2,0
CPU,인텔 코어2듀오 소켓 775 2.8 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 3.0 GHz,1,0
CPU,인텔 펜티엄 소켓 775 2.93 GHz,1,0
CPU,인텔 펜티엄 소켓 775 3.0 GHz,1,0
CPU,인텔 펜티엄 소켓 775 3.2 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓 775 2.5 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓 775 2.7 GHz,1,0
CPU,인텔 셀러론G1620 소켓1155 2.7 GHz,2,0
CPU,인텔 펜티엄G645 소켓1155 2.9 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 3.0 GHz,3,0
CPU,인텔 코어2듀오 소켓 775 2.66 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 3.0 GHz,1,0
CPU,인텔 펜티엄 소켓1155 2.9 GHz,1,0
CPU,인텔 펜티엄 소켓1155 3.2 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓1155 3.1 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓1155 3.3 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.3 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.0 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.4 GHz,1,0
CPU,인텔 코어I3 소켓1150 3.7 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.3 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.1 GHz,3,0
CPU,인텔 코어I3 소켓1155 3.4 GHz,10,0
CPU,인텔 펜티엄듀얼코어 소켓1155 3.0 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓1155 3.1 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓1155 3.3 GHz,4,0
CPU,인텔 셀러론 소켓 775 2.6 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 2.93 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 3.0 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.2 GHz,5,0
